pid,tid,query,resRank,sigPos,sigRank,listRank,signature,solution,notSigSoln,resRankTop,sigRankTop,signatureTop
32,serve,javascript express path static serve,1,1,1,3,"use(string, unknown)","app.use('/static',express.static('src/public/'))",,,,
14,serve,javascript express path static serve public,0,1,1,4,"use(string, unknown)","app.use(""/static"", express.static(""src/public/""));",,,,
27,serve,javascript serve files,,,,,,"app.use(express.static(path.join(__dirname, 'src/public/')));
// Static
app.use(""/"", express.static(__dirname));",,,,
9,serve,javascript serve static file,,,,,,"app.use(""/static"", express.static('src/public'));",,,,
13,serve,javascript setup route,8,0,7,0,"get(string, function)","app.get(""/static/:filename"", (req, res) =>
res.sendFile(path.join(""src/public"", filename))
)",,4,3,"get(string, function)"
20,serve,js send response file via get route,,,,,,"app.get('/static/:filePath', async (req, res) => {
console.log(__dirname);
const filePath =
path.join(__dirname,
'/public',
req.params.filePath);
console.log(filePath);
await res.status(200).sendFile(filePath);
});
app.get('/static', (req, res) => {
res.status(200).send(""route exist"");
})",,,,
19,serve,serve /static route,,,,,,"app.use('/static', express.static('src/public/'));",,,,
25,serve,serve file from static route,,,,,,"app.use(express.static(path.join(__dirname,'src/public')))",,,,
17,serve,serve static files,,,,,,"app.use('/', 'src/public', express.static(__dirname));",,,,
40,serve,setting up a route in node,,,,,,"app.use('/static/*', express.static(__dirname + '/src/public/'));",,,,
15,serve,static route,,,,,,NA,1,,,
30,serve,static route,,,,,,"const path = require('path');
app.use(express.static(path.join(__dirname, '/public')));",,,,
4,serve,static route javascript,,,,,,"app.use(express.static(path.join(__dirname, 'src/public')));",,,,
8,sort,javascript sort array big to small,,,,,,"return trades.sort(function(a, b) {
return a.shareCount - b.shareCount;
}).reverse();",,,,
26,sort,javascript sort array of objects descending,1,0,3,,"function[].sortBy(object[], string, number): any[]","let sortBy = (trades, p, o=1) => [...trades].sort((a,b) => a[p].localeCompare(b[p]) * o)
sortBy(trades, shareCount, -1);",,,,
2,sort,javascript sort array of objects descending,0,0,0,0,T[].sort(function): this,"const x = trades.sort(function(a, b) {
return parseFloat(a.shareCount) - parseFloat(b.shareCount);
}",,,,
3,sort,javascript sort array of objects descending,0,0,0,0,T[].sort(function): this,"return trades.sort((a, b) => (a.shareCount > b.shareCount) ? -1 : 1);",,,,
4,sort,javascript sort array of objects descending,0,0,0,0,T[].sort(function): this,"return trades.sort((a, b) => parseFloat(b.shareCount) - parseFloat(a.shareCount));",,,,
5,sort,javascript sort array of objects descending,0,0,0,0,T[].sort(function): this,"return trades.sort((a, b)=> b.shareCount - a.shareCount);",,,,
6,sort,javascript sort array of objects descending,0,0,0,0,T[].sort(function): this,"return trades.sort((a, b) => parseFloat(b.shareCount) - parseFloat(a.shareCount));",,,,
7,sort,javascript sort array of objects descending,0,0,0,0,T[].sort(function): this,"console.log(trades);
return trades.sort((a, b) => parseFloat(b.shareCount) - parseFloat(a.shareCount));",,,,
9,sort,javascript sort array of objects descending,0,0,0,0,T[].sort(function): this,"return trades.sort((a, b) => b.shareCount - a.shareCount);",,,,
10,sort,javascript sort array of objects descending,0,0,0,0,T[].sort(function): this,"return trades.sort(({shareCount:a}, {shareCount:b}) => b-a);",,,,
11,sort,javascript sort array of objects descending,0,0,0,0,T[].sort(function): this,"return trades.sort((a,b) => b.shareCount - a.shareCount);",,,,
12,sort,javascript sort array of objects descending,0,0,0,0,T[].sort(function): this,"return trades.sort((a, b) => parseFloat(b.shareCount) - parseFloat(a.shareCount));",,,,
13,sort,javascript sort array of objects descending,0,0,0,0,T[].sort(function): this,"return trades.sort((a, b) => {
if (a.shareCount <= b.shareCount) return 1
else return -1
});",,,,
14,sort,javascript sort array of objects descending,0,0,0,0,T[].sort(function): this,"return trades.sort((a, b) => parseFloat(b.shareCount) - parseFloat(a.shareCount));",,,,
15,sort,javascript sort array of objects descending,0,0,0,0,T[].sort(function): this,"return trades.sort(function(a, b) {
return parseFloat(b.shareCount) - parseFloat(a.shareCount);
});",,,,
16,sort,javascript sort array of objects descending,0,0,0,0,T[].sort(function): this,"const sort_by = (field, reverse, primer) => {
const key = primer ?
function(x) {
return primer(x[field])
} :
function(x) {
return x[field]
};
reverse = !reverse ? 1 : -1;
return function(a, b) {
return a = key(a), b = key(b), reverse * ((a > b) - (b > a));
}
}
trades.sort(sort_by('shareCount', true, parseInt))",,,,
17,sort,javascript sort array of objects descending,0,0,0,0,T[].sort(function): this,"return trades.sort((a,b) => parseFloat(b.shareCount) - parseFloat(a.shareCount));",,,,
18,sort,javascript sort array of objects descending,0,0,0,0,T[].sort(function): this,"return trades.sort((a, b) => parseFloat(b.shareCount) - parseFloat(a.shareCount));",,,,
19,sort,javascript sort array of objects descending,0,0,0,0,T[].sort(function): this,"return trades.sort((a, b) =>
parseFloat(b.shareCount) - parseFloat(a.shareCount)
);",,,,
21,sort,javascript sort array of objects descending,0,0,0,0,T[].sort(function): this,"return trades.sort((a, b) => parseFloat(b.shareCount) - parseFloat(a.shareCount));",,,,
22,sort,javascript sort array of objects descending,0,0,0,0,T[].sort(function): this,"trades.sort((a, b) => parseFloat(b.shareCount) - parseFloat(a.shareCount));",,,,
23,sort,javascript sort array of objects descending,0,0,0,0,T[].sort(function): this,"// This ""b - a"" trick will return a negative number if a>b, positive if b<a,
// which will sort the items in descending order.
return trades.sort((a,b) => Number(b.shareCount) - Number(a.shareCount));",,,,
24,sort,javascript sort array of objects descending,0,0,0,0,T[].sort(function): this,"return trades.sort((a,b) => b.shareCount - a.shareCount);",,,,
25,sort,javascript sort array of objects descending,0,0,0,0,T[].sort(function): this,"return trades.sort(function(a,b) {});
}",,,,
27,sort,javascript sort array of objects descending,0,0,0,0,T[].sort(function): this,"return trades.sort((a, b) => parseFloat(b.shareCount) - parseFloat(a.shareCount));",,,,
29,sort,javascript sort array of objects descending,0,0,0,0,T[].sort(function): this,"return trades.sort((trade1, trade2) => {
return trade2.shareCount - trade1.shareCount;
});",,,,
30,sort,javascript sort array of objects descending,0,0,0,0,T[].sort(function): this,"return trades.sort((a, b) => parseFloat(b.shareCount) - parseFloat(a.shareCount));",,,,
32,sort,javascript sort array of objects descending,0,0,0,0,T[].sort(function): this,"return trades.sort((a, b) => Number(b.shareCount) - Number(a.shareCount));",,,,
33,sort,javascript sort array of objects descending,0,0,0,0,T[].sort(function): this,"return trades.sort(sort_by('shareCount', true, parseInt));
}
const sort_by = (field, reverse, primer) => {
const key = primer ?
function(x) {
return primer(x[field])
} :
function(x) {
return x[field]
};
reverse = !reverse ? 1 : -1;
return function(a, b) {
return a = key(a), b = key(b), reverse * ((a > b) - (b > a))
}",,,,
34,sort,javascript sort array of objects descending,0,0,0,0,T[].sort(function): this,"return trades.sort((a, b) => -(parseFloat(a.shareCount) - parseFloat(b.shareCount)));",,,,
35,sort,javascript sort array of objects descending,0,0,0,0,T[].sort(function): this,"return trades.sort((a,b) => b.shareCount - a.shareCount);",,,,
37,sort,javascript sort array of objects descending,0,0,0,0,T[].sort(function): this,"return trades.sort((a,b) =>  b.shareCount - a.shareCount);",,,,
39,sort,javascript sort array of objects descending,0,0,0,0,T[].sort(function): this,"return trades.sort(function(a,b) {
return b.shareCount - a.shareCount
});",,,,
28,sort,javascript sort array of objects descending numeric value,0,0,0,0,T[].sort(function): this,"return trades.sort((a, b) => b.shareCount-a.shareCount);",,,,
1,sort,javascript sort by highest to lowest,0,0,0,1,T[].sort(function): this,"return trades.sort((a, b) => a - b);",,,,
31,sort,sort array of objects descending,,,,,T[].sort(function): this,"return trades.sort(function(a,b) { return b.shareCount - a.shareCount});",,,,
40,sort,sort in descending o,,,,,,"return trades.sort(function(a,b){
return b.shareCount - a.shareCount;
});",,,,
